"Date","Room","Prov","Pot","W_treatment","Code","Height","D1","D2","D","Stemmass","Rootmass","Leafmass","Leafarea"
2016-01-08,1,"B",1,"d","B-01",12.8,0.8,0.83,0.815,0.0253285191673232,0.328713020633627,0.259919999836553,50.1801304789377
2016-01-08,1,"B",2,"d","B-02",13.2,0.73,0.7,0.715,0.0208998973595829,0.480867821676811,0.298371155691523,53.6642814767363
2016-01-08,1,"B",3,"d","B-03",13.7,1.22,1.27,1.245,0.0582996898504628,0.192658379934909,0.264498669653504,59.1084586311127
2016-01-08,1,"B",4,"d","B-04",13,0.89,0.92,0.905,0.0310746736137692,0.286494736131113,0.260110387114917,52.0996674379885
2016-01-08,1,"B",5,"d","B-05",13,0.81,0.88,0.845,0.0275310817832972,0.327007859885209,0.267400116006025,52.0219044020489
2016-01-08,1,"B",6,"d","B-06",7.2,0.55,0.53,0.54,0.00592234775812984,0.0663756879573467,0.0623528766100541,13.4395347159841
2016-01-08,1,"B",7,"d","B-07",9.8,0.95,0.98,0.965,0.024356895566754,0.078138354729323,0.115896664419863,27.4388794575689
2016-01-08,1,"B",8,"d","B-08",14,1.06,1.1,1.08,0.0466192736265433,0.27731540296883,0.297409906597905,61.9011907599505
2016-01-08,1,"B",9,"d","B-09",13,1.12,1.15,1.135,0.0463438029808155,0.185137238699964,0.237427541207248,52.357200676074
2016-01-08,1,"B",10,"d","B-10",12.7,1.03,1.05,1.04,0.0385638775621603,0.198842221853296,0.230540068195337,49.555391739241
2016-01-08,1,"B",11,"d","B-11",14.7,1.19,1.2,1.195,0.0592774954601966,0.279506718577159,0.32683680272518,69.3175475747611
2016-01-08,1,"B",12,"d","B-12",11.5,0.92,0.99,0.955,0.0292670882682831,0.155091124099702,0.181254637977123,39.4689907057893
2016-01-08,1,"B",13,"d","B-13",15.4,0.83,0.88,0.855,0.0348152310714053,0.64682386421624,0.425469408622763,76.4931162554984
2016-01-08,1,"B",14,"d","B-14",12,1.11,1.02,1.065,0.0374361423120654,0.150033844363548,0.195164198645851,43.5833610763718
2016-01-08,1,"B",15,"d","B-15",11.9,0.61,0.59,0.6,0.0134542807390133,0.438075283825136,0.240294402047042,42.2308366066457
2016-01-18,1,"B",1,"d","B-01",13.2,0.94,0.98,0.96,0.0351564893109911,0.272456216104475,0.264969833920558,54.0096922715537
2016-01-18,1,"B",2,"d","B-02",14.6,0.91,0.97,0.94,0.0384733290172115,0.431563598121739,0.353282446623685,67.8940607503907
2016-01-18,1,"B",3,"d","B-03",14.8,1.58,1.64,1.61,0.101182339593059,0.161820506341963,0.295340667018463,70.8529596410304
2016-01-18,1,"B",4,"d","B-04",14.7,0.93,0.98,0.955,0.0399061035606207,0.430645867654805,0.357735121061358,68.9799889765803
2016-01-18,1,"B",5,"d","B-05",14.1,1.02,0.98,1,0.0410653812529759,0.331342333485637,0.312883848985993,62.8059431757667
2016-01-18,1,"B",6,"d","B-06",8,0.6,0.58,0.59,0.00790979092178921,0.0867376069616821,0.0805529909939552,17.1111951709845
2016-01-18,1,"B",7,"d","B-07",12,1.3,1.34,1.32,0.0546806979133804,0.0991845259485424,0.178993690151944,43.787549028628
2016-01-18,1,"B",8,"d","B-08",16,1.8,1.84,1.82,0.138626737068791,0.176693417276093,0.348848220225279,84.8233960038524
2016-01-18,1,"B",9,"d","B-09",14.2,1.22,1.27,1.245,0.0609997784138286,0.223639909988244,0.292103631406598,64.1287622924536
2016-01-18,1,"B",10,"d","B-10",14.5,1.49,1.43,1.46,0.082967156065381,0.179443620766732,0.290272850590248,67.4850638352967
2016-01-18,1,"B",11,"d","B-11",16.8,1.79,1.81,1.8,0.144590190934206,0.221115816014046,0.401099233081401,94.7542032843581
2016-01-18,1,"B",12,"d","B-12",12,1.31,1.24,1.275,0.0514335154100623,0.106044524788978,0.181512812006649,43.7544904299124
2016-01-18,1,"B",13,"d","B-13",17,1,1.08,1.04,0.0557356223267334,0.668879952078142,0.516985233388092,96.1831880357909
2016-01-18,1,"B",14,"d","B-14",15,1.5,1.49,1.495,0.0902943821797031,0.19739646297148,0.315817094268953,72.9313675566072
2016-01-18,1,"B",15,"d","B-15",12.5,0.73,0.76,0.745,0.0209779384487048,0.354134074456709,0.252365264876304,47.4524958950338
2016-01-28,1,"B",1,"d","B-01",15,1.44,1.47,1.455,0.0860739934265054,0.207993062337707,0.319287096087872,72.8883119381831
2016-01-28,1,"B",2,"d","B-02",16.4,1.3,1.3,1.3,0.0789717966648859,0.374610503627215,0.427773520657806,89.067917771268
2016-01-28,1,"B",3,"d","B-03",17.5,2,2.01,2.005,0.184164994757174,0.212841001274595,0.430007645827021,104.216395974778
2016-01-28,1,"B",4,"d","B-04",17.1,1.6,1.62,1.61,0.121433327891189,0.295125291338383,0.44061586872655,98.4066540109756
2016-01-28,1,"B",5,"d","B-05",16.2,1.24,1.22,1.23,0.0705202290743438,0.396059279705351,0.422806659277306,86.5126055554807
2016-01-28,1,"B",6,"d","B-06",9.8,0.91,0.93,0.92,0.0223880511232435,0.0856745740077979,0.118148278715972,27.4103624872279
2016-01-28,1,"B",7,"d","B-07",16,1.8,1.77,1.785,0.133956032737671,0.183434202118956,0.351588326813092,84.7875385561583
2016-01-28,1,"B",8,"d","B-08",20,2.11,2.09,2.1,0.236557214510015,0.339262271929268,0.610911819505942,141.33682431338
2016-01-28,1,"B",9,"d","B-09",18,1.82,1.85,1.835,0.163208991599172,0.283883414336339,0.481794913653717,110.897308366438
2016-01-28,1,"B",10,"d","B-10",17.2,1.77,1.77,1.77,0.144597992257465,0.25188644555754,0.431016479821411,99.9261846438075
2016-01-28,1,"B",11,"d","B-11",21.4,2.61,2.54,2.575,0.369278844812531,0.303405159556483,0.67869062683752,165.579401514715
2016-01-28,1,"B",12,"d","B-12",15.4,1.64,1.6,1.62,0.107559587927757,0.188645086047454,0.328879563910611,77.565010451291
2016-01-28,1,"B",13,"d","B-13",17.5,1.8,1.76,1.78,0.149267544587412,0.267748433394264,0.451133569745976,103.946633555793
2016-01-28,1,"B",14,"d","B-14",20,2.14,2.17,2.155,0.247601816373221,0.322765389628334,0.604580995571387,141.416411654934
2016-01-28,1,"B",15,"d","B-15",15.2,1.32,1.35,1.335,0.0751895608379182,0.259450099901197,0.342905088892799,74.9765569965853
2016-02-08,1,"B",1,"d","B-01",17,2.09,2.07,2.08,0.189433746077815,0.175765594435595,0.391007926135542,97.6458880256903
2016-02-08,1,"B",2,"d","B-02",19.4,2.05,2.07,2.06,0.220032777618634,0.310177317839278,0.565860497897626,131.822822804725
2016-02-08,1,"B",3,"d","B-03",21.2,3.15,3.22,3.185,0.531095224872045,0.193657252671228,0.606981551059063,162.833245054809
2016-02-08,1,"B",4,"d","B-04",23.4,2.36,2.47,2.415,0.369136982461431,0.497914954228114,0.891981882665952,202.600650845968
2016-02-08,1,"B",5,"d","B-05",19.2,2.23,2.22,2.225,0.248808856505979,0.256075880753291,0.533043518990555,128.968752226796
2016-02-08,1,"B",7,"d","B-07",22.7,2.97,3.35,3.16,0.570992181689426,0.261301394406862,0.735830927302569,190.189970305967
2016-02-08,1,"B",8,"d","B-08",24.8,3.15,3.11,3.13,0.6278410687349,0.384573543854957,0.943765033283127,232.532095841734
2016-02-08,1,"B",9,"d","B-09",24.8,2.94,3.02,2.98,0.575711900546959,0.422767844620726,0.962625808821317,232.28357251954
2016-02-08,1,"B",10,"d","B-10",22.7,2.92,2.69,2.805,0.462682253831753,0.328797687337233,0.772024560462983,189.697097549582
2016-02-08,1,"B",11,"d","B-11",28.1,3.52,3.51,3.515,0.902186999108938,0.517055869775093,1.27296693580321,309.715036469895
2016-02-08,1,"B",12,"d","B-12",20.9,2.36,2.29,2.325,0.299295638905492,0.334834205414164,0.662381947781224,156.563623661823
2016-02-08,1,"B",13,"d","B-13",20.3,2.23,2.27,2.25,0.272262929479039,0.315981855167055,0.619173944307797,146.424050361791
2016-02-08,1,"B",14,"d","B-14",25.2,3.54,3.67,3.605,0.82210912773402,0.313023350456981,0.931931981998376,241.892084176144
2016-02-08,1,"B",15,"d","B-15",18.5,2.09,2.16,2.125,0.218899604444867,0.239759958962286,0.489937201646013,118.404710233784
2016-02-29,1,"B",13,"d","B-13",35,3.49,3.35,3.42,1.13431972862357,1.35888190360085,2.36432273926296,509.998153953289
2016-02-29,1,"B",4,"d","B-04",50,4.32,4.56,4.44,2.821324897627,3.62247713482165,5.71503011379178,1154.26315304665
2016-02-29,1,"B",2,"d","B-02",38,3.46,3.47,3.465,1.28784704463053,1.86556809129797,2.9534531863905,615.055349908631
2016-02-29,1,"B",9,"d","B-09",46,4.39,4.33,4.36,2.45912086805577,2.65209729479991,4.56997768662149,954.512299121566
2016-02-29,1,"B",1,"d","B-01",26.5,3.54,3.46,3.5,0.831499551390845,0.408511169680477,1.084064718086,271.032495304833
2016-02-29,1,"B",7,"d","B-07",42.5,5.11,4.82,4.965,2.79883441823447,1.48527997341895,3.48332922197886,799.559545090037
2016-02-29,1,"B",3,"d","B-03",36.2,4.9,4.96,4.93,2.25708844415612,0.772439073669575,2.24005859822468,555.036296815388
2016-02-29,1,"B",14,"d","B-14",46,4.78,4.79,4.785,2.8978688632638,2.21668099418411,4.40187527463627,956.447467151637
2016-01-08,1,"B",1,"w","B-01",12,0.82,0.9,0.86,0.0163388899879619,0.0913598020677234,0.239614992635245,28.0803769528164
2016-01-08,1,"B",2,"w","B-02",11.8,0.79,0.78,0.785,0.0134901881401885,0.0831341542061623,0.232355659210864,25.4156151759229
2016-01-08,1,"B",3,"w","B-03",11.8,0.74,0.85,0.795,0.0138110222254496,0.0841201559037502,0.232427403590882,25.6949036159075
2016-01-08,1,"B",4,"w","B-04",17.3,0.99,0.97,0.98,0.033725032069001,0.126484657484058,0.447355602698248,49.5648871022364
2016-01-08,1,"B",5,"w","B-05",11.8,0.88,0.71,0.795,0.0138110222254496,0.0841201559037502,0.232427403590882,25.6949036159075
2016-01-08,1,"B",6,"w","B-06",13.1,0.95,0.99,0.97,0.0229345609030304,0.107312540152912,0.278911521143308,34.7502659523877
2016-01-08,1,"B",7,"w","B-07",11.8,0.9,0.87,0.885,0.0168542468872829,0.0929572202653548,0.233036131910536,28.1876947394617
2016-01-08,1,"B",8,"w","B-08",12.5,1.01,1.04,1.025,0.0238851187719932,0.110058831051211,0.257915113808872,34.3785065907727
2016-01-08,1,"B",9,"w","B-09",15.2,1.32,1.38,1.35,0.0515431399204795,0.158605951764072,0.36192006301719,55.6289882530202
2016-01-08,1,"B",10,"w","B-10",13,0.89,0.91,0.9,0.0197561813284241,0.0996548819586073,0.274803462688034,32.2648645550385
2016-01-08,1,"B",11,"w","B-11",14.3,1.22,1.14,1.18,0.0370422487218905,0.135243848883529,0.325219665748884,45.9020816624631
2016-01-08,1,"B",12,"w","B-12",14.2,0.82,0.88,0.85,0.019959602615361,0.0992486109612658,0.318806575534072,34.2798675616029
2016-01-08,1,"B",13,"w","B-13",11,0.98,0.89,0.935,0.017015360758469,0.0940894577350405,0.207125688378911,27.0835888669136
2016-01-08,1,"B",14,"w","B-14",14.3,1.1,1.03,1.065,0.0306202462465731,0.122924399008897,0.324407369329926,42.0130611257793
2016-01-08,1,"B",15,"w","B-15",12.7,0.83,0.79,0.81,0.0157534146890787,0.0891729341565731,0.26344439222247,28.6153966361692
2016-01-18,1,"B",1,"w","B-01",13.6,1.14,1.19,1.165,0.0338571429137062,0.129959289335869,0.298558456603327,42.6478337274003
2016-01-18,1,"B",2,"w","B-02",13.2,0.81,0.84,0.825,0.0171504720693316,0.0926812899092335,0.281422896354281,30.5041982470871
2016-01-18,1,"B",3,"w","B-03",12.4,0.97,0.96,0.965,0.0211294024329211,0.103581510191465,0.254047338262834,32.3092212861186
2016-01-18,1,"B",4,"w","B-04",18.3,1.29,1.23,1.26,0.0579137650473981,0.164925065969224,0.495170632019232,66.0376802629186
2016-01-18,1,"B",5,"w","B-05",13.8,1.04,1.08,1.06,0.0289627833941669,0.119985615802016,0.305347723584652,40.02904179727
2016-01-18,1,"B",6,"w","B-06",15,1.12,1.14,1.13,0.0364032011983104,0.133400672202801,0.352339183191855,46.9287635054384
2016-01-18,1,"B",7,"w","B-07",13.2,0.94,1.02,0.98,0.0236110055861129,0.108802307218827,0.282607071263236,35.3928734727279
2016-01-18,1,"B",8,"w","B-08",13.8,1.38,1.33,1.355,0.0456919209000146,0.150817672290375,0.307181699440549,49.4811266996388
2016-01-18,1,"B",9,"w","B-09",17.8,1.65,1.69,1.67,0.0942102701521052,0.211128572072093,0.475674353491734,81.3659450206484
2016-01-18,1,"B",10,"w","B-10",14.7,1.15,1.17,1.16,0.0372138498660567,0.135167648603612,0.340674945190483,46.81014188639
2016-01-18,1,"B",11,"w","B-11",16.2,1.37,1.4,1.385,0.0587874318975708,0.16829794031718,0.403524904093072,61.567373146891
2016-01-18,1,"B",12,"w","B-12",15.7,1.04,1.09,1.065,0.0346317809778602,0.129485425772175,0.380161784412863,47.194121501262
2016-01-18,1,"B",13,"w","B-13",11.5,0.98,0.94,0.96,0.0189480877436386,0.0988468036553712,0.223508451791734,29.2843743273654
2016-01-18,1,"B",14,"w","B-14",16,1.27,1.21,1.24,0.0470970675370401,0.150778626843106,0.394038029618006,55.1020075866972
2016-01-18,1,"B",15,"w","B-15",13.5,0.81,0.88,0.845,0.0184695534652153,0.0959655166757125,0.292540175263118,32.0252495931496
2016-01-28,1,"B",1,"w","B-01",16.8,1.49,1.52,1.505,0.0719629877537652,0.185560113392532,0.430099958806003,69.2104242048144
2016-01-28,1,"B",2,"w","B-02",13.7,1.24,1.26,1.25,0.0389612738307249,0.139336852963151,0.302815287990159,45.7365870303436
2016-01-28,1,"B",3,"w","B-03",15.5,1.35,1.39,1.37,0.0543523128676661,0.162552619043139,0.374266872581008,57.7275916053743
2016-01-28,1,"B",4,"w","B-04",21,1.73,1.69,1.71,0.122411721531455,0.236643406272376,0.630197870101126,102.026098263635
2016-01-28,1,"B",5,"w","B-05",18.3,1.62,1.55,1.585,0.0886809096705165,0.204227003953207,0.497949645187629,80.5071444231147
2016-01-28,1,"B",6,"w","B-06",17.2,1.61,1.66,1.635,0.0865744232979916,0.203089942961136,0.44853802188191,76.5526233987393
2016-01-28,1,"B",7,"w","B-07",14.8,1.5,1.56,1.53,0.0627823304785582,0.175591167295929,0.346954196546323,59.9531645454511
2016-01-28,1,"B",8,"w","B-08",17,2.18,2.02,2.1,0.135685551312663,0.254747477135546,0.442410299030704,93.6452529516646
2016-01-28,1,"B",9,"w","B-09",22,2.43,2.43,2.43,0.24993228877154,0.336891411330165,0.687867211933346,146.428249231412
2016-01-28,1,"B",10,"w","B-10",18,1.71,1.62,1.665,0.0950771663488207,0.211853461768001,0.484749772169262,82.292442204886
2016-01-28,1,"B",11,"w","B-11",18.3,2.46,2.35,2.405,0.19234192559181,0.301151082011973,0.503039255446049,115.392865963681
2016-01-28,1,"B",12,"w","B-12",16.8,1.54,1.48,1.51,0.0724075475259616,0.186134263426676,0.430134751570133,69.4088987631415
2016-01-28,1,"B",13,"w","B-13",13.8,1.18,1.1,1.14,0.0331523207727501,0.128399066098148,0.305890046298153,42.6242641174782
2016-01-28,1,"B",14,"w","B-14",19.2,1.83,1.85,1.84,0.124627254746199,0.241028206289099,0.542212402041409,97.2143728443237
2016-01-28,1,"B",15,"w","B-15",15.6,1.35,1.45,1.4,0.0570646657867368,0.166460570269171,0.378576122627493,59.2901952039494
2016-02-08,1,"B",1,"w","B-01",20.9,2.62,2.84,2.73,0.28995751294887,0.364903917189805,0.632283568287781,151.893334287148
2016-02-08,1,"B",2,"w","B-02",17.4,2.3,2.36,2.33,0.169690395514547,0.28429893437709,0.461398936457244,105.446184648856
2016-02-08,1,"B",3,"w","B-03",21.8,2.31,2.47,2.39,0.239447306309045,0.33004082793273,0.677008542614795,142.712913094364
2016-02-08,1,"B",4,"w","B-04",23.1,2.58,2.55,2.565,0.294680748117248,0.364047356812441,0.748267861777863,163.03448079074
2016-02-08,1,"B",5,"w","B-05",21.6,2.49,2.72,2.605,0.27758586133658,0.355782343258161,0.667897469023375,151.977148643171
2016-02-08,1,"B",6,"w","B-06",22.3,2.44,2.67,2.555,0.279270914242562,0.355677063119305,0.704731946057576,155.509424254418
2016-02-08,1,"B",7,"w","B-07",17.3,2.46,2.13,2.295,0.163739177160907,0.279421018803724,0.456736680389513,103.333036287312
2016-02-08,1,"B",8,"w","B-08",20.3,3,3.48,3.24,0.383508498772759,0.421132543100754,0.604290319645078,169.827598203041
2016-02-08,1,"B",9,"w","B-09",27.7,3.33,3.36,3.345,0.612933794249657,0.515785595938085,1.02515195991853,257.056114749079
2016-02-08,1,"B",10,"w","B-10",24.2,2.89,2.61,2.75,0.356567375664392,0.398636848797573,0.811148649326756,183.462202159813
2016-02-08,1,"B",11,"w","B-11",21.5,3.28,3.08,3.18,0.39955601416483,0.427310460680939,0.665886687557356,179.495669194419
2016-02-08,1,"B",12,"w","B-12",18.2,2.29,2.26,2.275,0.172236587355288,0.285088973810235,0.497705581960074,109.239514716135
2016-02-08,1,"B",14,"w","B-14",23.2,3.09,2.74,2.915,0.375814099048613,0.411097763311059,0.75613162866316,183.052875372621
2016-02-08,1,"B",15,"w","B-15",17.5,2.52,2.78,2.65,0.217127736009194,0.321528268156296,0.467375239708921,118.681601559518
2016-02-29,1,"B",1,"w","B-01",46.3,4.36,4.55,4.455,2.05382472365552,0.896592272013717,2.46975196564594,624.090244053001
2016-02-29,1,"B",14,"w","B-14",39,4.96,4.93,4.945,1.98835163458012,0.898093481597601,1.85024161293678,551.566487339308
2016-02-29,1,"B",2,"w","B-02",40.1,5.07,4.88,4.975,2.08589662174954,0.917261918161983,1.9400108867114,573.991732148205
2016-02-29,1,"B",6,"w","B-06",41,4.77,4.73,4.75,1.9709576427995,0.889484484642185,2.01225022090035,566.961937695353
2016-02-29,1,"B",15,"w","B-15",36,4.24,4.32,4.28,1.3683885810632,0.750837727035961,1.6094298138706,440.721790928104
2016-02-29,1,"B",10,"w","B-10",44.4,5.36,5.22,5.29,2.67368652679631,1.02791408441014,2.30978930358374,687.075541483451
2016-02-29,1,"B",4,"w","B-04",35.5,4.47,4.2,4.335,1.3756245151335,0.753927560846149,1.5721474435494,437.914794279488
2016-02-29,1,"B",9,"w","B-09",41.5,5.12,4.9,5.01,2.21100871016835,0.941080029016837,2.05676755569286,602.684640424476
2016-01-08,2,"B",16,"d","B-16",11.7,0.75,0.8,0.775,0.00657363307443707,0.0722724796811976,0.096269132543662,25.112312903866
2016-01-08,2,"B",17,"d","B-17",13,0.96,1.01,0.985,0.0141817045067324,0.110002741238466,0.145845729886773,37.7403204272264
2016-01-08,2,"B",18,"d","B-18",13.4,0.78,0.85,0.815,0.00838080889715802,0.0785679124784083,0.117883366343312,29.6140848802151
2016-01-08,2,"B",19,"d","B-19",13.2,0.98,0.97,0.975,0.0139211332302532,0.10796652514295,0.146194430528734,37.6074485074295
2016-01-08,2,"B",20,"d","B-20",13.1,0.88,0.91,0.895,0.0108094193438627,0.0928151068596267,0.12994484685621,33.2061249043421
2016-01-08,2,"B",21,"d","B-21",13.7,0.87,0.84,0.855,0.00978026373974907,0.0854436467753846,0.128227705422907,32.1500080552212
2016-01-08,2,"B",22,"d","B-22",10.5,0.63,0.62,0.625,0.0032656285809566,0.0496081581813164,0.0654031353961462,17.258810922604
2016-01-08,2,"B",23,"d","B-23",11.4,0.85,0.86,0.855,0.00857161244055479,0.0860881722868387,0.106388272004239,28.273305493012
2016-01-08,2,"B",24,"d","B-24",14.4,0.88,0.98,0.93,0.0129259933929377,0.0989518300559499,0.150290110923349,37.4225895172628
2016-01-08,2,"B",25,"d","B-25",10.8,1,1.08,1.04,0.0145264882621127,0.122027901393394,0.129549874616616,35.7560607844432
2016-01-08,2,"B",26,"d","B-26",14.5,0.8,0.88,0.84,0.00967869293399055,0.0826166269908278,0.132781254219104,32.6374180340866
2016-01-08,2,"B",27,"d","B-27",14.5,0.9,0.87,0.885,0.01125496794601,0.090610623559926,0.14199833145575,35.0960188868149
2016-01-08,2,"B",28,"d","B-28",11.7,0.77,0.79,0.78,0.0066970026277434,0.0730997591718321,0.097068607819197,25.3380778665099
2016-01-08,2,"B",29,"d","B-29",10.5,0.92,0.88,0.9,0.0093720474004109,0.0945865976661338,0.104533829153863,28.6687065019006
2016-01-08,2,"B",30,"d","B-30",14.5,0.79,0.83,0.81,0.00871267118140099,0.0774665315323881,0.126714095386407,31.0266222991919
2016-01-18,2,"B",16,"d","B-16",13.7,0.92,0.98,0.95,0.0132631758327826,0.102958754179763,0.146834191339013,37.2274238588087
2016-01-18,2,"B",17,"d","B-17",16,1.39,1.4,1.395,0.0450228279706376,0.201932576769294,0.281757376925564,70.8266616265897
2016-01-18,2,"B",18,"d","B-18",16,1.1,1.16,1.13,0.0244846787420433,0.139082789461424,0.214886612254537,52.8274589142405
2016-01-18,2,"B",19,"d","B-19",16.2,1.19,1.2,1.195,0.0290398219149443,0.153476286445688,0.233844563548522,57.6017964742399
2016-01-18,2,"B",20,"d","B-20",14.6,0.84,0.84,0.84,0.00972655623123791,0.0825934120004371,0.133711636391585,32.7946276817133
2016-01-18,2,"B",21,"d","B-21",16,0.92,0.97,0.945,0.0146015019573778,0.101356396139626,0.170747268052806,41.1904811979473
2016-01-18,2,"B",22,"d","B-22",12.3,0.9,0.95,0.925,0.0113647348357135,0.0986460074285211,0.127165947414255,33.2669032649842
2016-01-18,2,"B",23,"d","B-23",14.1,1.1,1.2,1.15,0.023524412241469,0.14421267928068,0.193300072794839,49.554028735503
2016-01-18,2,"B",24,"d","B-24",15.7,1.17,1.2,1.185,0.0277121132311106,0.151404536821595,0.22407914598602,55.697722577421
2016-01-18,2,"B",25,"d","B-25",13.2,1.29,1.3,1.295,0.0316276280525429,0.17842220375855,0.21059740993058,55.8245474126343
2016-01-18,2,"B",26,"d","B-26",16.7,1.19,1.17,1.18,0.028615950049673,0.14989677785272,0.237292592226012,57.8137554261172
